pokedex,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
703,500,50,50,150,50,150,50,0
704,300,45,50,35,55,75,40,0
705,452,68,75,53,83,113,60,0
706,600,90,100,70,110,150,80,0
707,470,57,80,91,80,87,75,0
708,309,43,70,48,50,60,38,0
709,474,85,110,76,65,82,56,0
710,335,49,66,70,44,55,51,0
710,335,44,66,70,44,55,56,0
710,335,54,66,70,44,55,46,0
710,335,59,66,70,44,55,41,0
711,494,65,90,122,58,75,84,0
711,494,55,85,122,58,75,99,0
711,494,75,95,122,58,75,69,0
711,494,85,100,122,58,75,54,0
712,304,55,69,85,32,35,28,0
713,514,95,117,184,44,46,28,0
714,245,40,30,35,45,40,55,0
715,535,85,70,80,97,80,123,0
716,680,126,131,95,131,98,99,1
717,680,126,131,95,131,98,99,1
718,600,108,100,121,81,95,95,1
719,600,50,100,150,100,150,50,1
719,700,50,160,110,160,110,110,1
720,600,80,110,60,150,130,70,1
720,680,80,160,60,170,130,80,1
721,600,80,110,120,130,90,70,1
